ClientID,Completed Connections,Data Received
"('127.0.0.1', 60478)",100,6800
"('127.0.0.1', 59466)",10,680
"('127.0.0.1', 59888)",100,6800
"('127.0.0.1', 59626)",10,680
"('127.0.0.1', 32930)",100,6800
"('127.0.0.1', 60492)",100,6800
"('127.0.0.1', 60468)",100,6800
"('127.0.0.1', 59482)",10,680
"('127.0.0.1', 33020)",100,6800
"('127.0.0.1', 60494)",100,6800
"('127.0.0.1', 59414)",10,680
"('127.0.0.1', 60130)",100,6800
"('127.0.0.1', 60516)",100,6800
"('127.0.0.1', 32866)",100,6800
"('127.0.0.1', 59798)",100,6800
"('127.0.0.1', 33038)",100,6800
"('127.0.0.1', 60454)",100,6800
"('127.0.0.1', 59666)",10,680
"('127.0.0.1', 60096)",100,6800
"('127.0.0.1', 59580)",10,680
"('127.0.0.1', 60132)",100,6800
"('127.0.0.1', 32954)",100,6800
"('127.0.0.1', 59612)",10,680
"('127.0.0.1', 60448)",100,6800
"('127.0.0.1', 60066)",100,6800
"('127.0.0.1', 60694)",100,6800
"('127.0.0.1', 60464)",100,6800
"('127.0.0.1', 59402)",10,680
"('127.0.0.1', 60090)",100,6800
"('127.0.0.1', 33048)",100,6800
"('127.0.0.1', 33024)",100,6800
"('127.0.0.1', 59654)",10,680
"('127.0.0.1', 32994)",100,6800
"('127.0.0.1', 60500)",100,6800
"('127.0.0.1', 60488)",100,6800
"('127.0.0.1', 32914)",100,6800
"('127.0.0.1', 60234)",100,6800
"('127.0.0.1', 60540)",100,6800
"('127.0.0.1', 33022)",100,6800
"('127.0.0.1', 32904)",100,6800
"('127.0.0.1', 59426)",10,680
"('127.0.0.1', 59452)",10,680
"('127.0.0.1', 60178)",100,6800
"('127.0.0.1', 60046)",100,6800
"('127.0.0.1', 60514)",100,6800
"('127.0.0.1', 32870)",100,6800
"('127.0.0.1', 60616)",100,6800
"('127.0.0.1', 32980)",100,6800
"('127.0.0.1', 60462)",100,6800
"('127.0.0.1', 60850)",100,6800
"('127.0.0.1', 32894)",100,6800
"('127.0.0.1', 59852)",100,6800
"('127.0.0.1', 33006)",100,6800
"('127.0.0.1', 60546)",100,6800
"('127.0.0.1', 32922)",100,6800
"('127.0.0.1', 60022)",100,6800
"('127.0.0.1', 59518)",10,680
"('127.0.0.1', 33042)",100,6800
"('127.0.0.1', 59438)",10,680
"('127.0.0.1', 60144)",100,6800
"('127.0.0.1', 60122)",100,6800
"('127.0.0.1', 60200)",100,6800
"('127.0.0.1', 59628)",10,680
"('127.0.0.1', 60658)",100,6800
"('127.0.0.1', 59960)",100,6800
"('127.0.0.1', 32876)",100,6800
"('127.0.0.1', 59670)",10,680
"('127.0.0.1', 33054)",100,6800
"('127.0.0.1', 32882)",100,6800
"('127.0.0.1', 60844)",100,6800
"('127.0.0.1', 59640)",10,680
"('127.0.0.1', 32934)",100,6800
"('127.0.0.1', 59420)",10,680
"('127.0.0.1', 32896)",100,6800
"('127.0.0.1', 59658)",10,680
"('127.0.0.1', 59652)",10,680
"('127.0.0.1', 60160)",100,6800
"('127.0.0.1', 32926)",100,6800
"('127.0.0.1', 60006)",100,6800
"('127.0.0.1', 59596)",10,680
"('127.0.0.1', 33062)",100,6800
"('127.0.0.1', 32890)",100,6800
"('127.0.0.1', 32886)",100,6800
"('127.0.0.1', 59730)",10,680
"('127.0.0.1', 60794)",100,6800
"('127.0.0.1', 60482)",100,6800
"('127.0.0.1', 33012)",100,6800
"('127.0.0.1', 33030)",100,6800
"('127.0.0.1', 60008)",100,6800
"('127.0.0.1', 60486)",100,6800
"('127.0.0.1', 60124)",100,6800
"('127.0.0.1', 60340)",100,6800
"('127.0.0.1', 32912)",100,6800
"('127.0.0.1', 59656)",10,680
"('127.0.0.1', 59372)",10,680
"('127.0.0.1', 59622)",10,680
"('127.0.0.1', 60106)",100,6800
"('127.0.0.1', 60866)",100,6800
"('127.0.0.1', 60624)",100,6800
"('127.0.0.1', 60210)",100,6800
"('127.0.0.1', 32948)",100,6800
"('127.0.0.1', 59740)",10,680
"('127.0.0.1', 32932)",100,6800
"('127.0.0.1', 59746)",10,680
"('127.0.0.1', 60374)",100,6800
"('127.0.0.1', 60148)",100,6800
"('127.0.0.1', 33026)",100,6800
"('127.0.0.1', 59780)",100,6800
"('127.0.0.1', 60238)",100,6800
"('127.0.0.1', 60068)",100,6800
"('127.0.0.1', 32966)",100,6800
"('127.0.0.1', 59702)",10,680
"('127.0.0.1', 60718)",100,6800
"('127.0.0.1', 59632)",10,680
"('127.0.0.1', 60292)",100,6800
"('127.0.0.1', 60480)",100,6800
"('127.0.0.1', 60162)",100,6800
"('127.0.0.1', 33088)",100,6800
"('127.0.0.1', 60100)",100,6800
"('127.0.0.1', 60394)",100,6800
"('127.0.0.1', 59900)",100,6800
"('127.0.0.1', 60506)",100,6800
"('127.0.0.1', 59588)",10,680
"('127.0.0.1', 60502)",100,6800
"('127.0.0.1', 59646)",10,680
"('127.0.0.1', 60612)",100,6800
"('127.0.0.1', 59668)",10,680
"('127.0.0.1', 33086)",100,6800
"('127.0.0.1', 60682)",100,6800
"('127.0.0.1', 60854)",100,6800
"('127.0.0.1', 60566)",100,6800
"('127.0.0.1', 59650)",10,680
"('127.0.0.1', 60526)",100,6800
"('127.0.0.1', 59744)",10,680
"('127.0.0.1', 59906)",100,6800
"('127.0.0.1', 59696)",10,680
"('127.0.0.1', 60596)",100,6800
"('127.0.0.1', 59672)",10,680
"('127.0.0.1', 33008)",100,6800
"('127.0.0.1', 32964)",100,6800
"('127.0.0.1', 60134)",100,6800
"('127.0.0.1', 59624)",10,680
"('127.0.0.1', 60648)",100,6800
"('127.0.0.1', 60074)",100,6800
"('127.0.0.1', 59978)",100,6800
"('127.0.0.1', 59988)",100,6800
"('127.0.0.1', 59836)",100,6800
"('127.0.0.1', 59864)",100,6800
